area_sqft,bedroom_num,bathroom_num,balcony_num,property_type_code,facing_code,age_years,price_per_sqft,total_rooms,room_bath_ratio,price
2249.99892,3.0,3.0,3.0,1.0,8.0,15.0,0.15111118364447926,6.0,1.0,340.0
2210.0,4.0,4.0,3.0,0.0,2.0,3.0,0.15384615384615385,8.0,1.0,340.0
1619.982,3.0,4.0,3.0,1.0,3.0,7.5,0.23148405352652066,7.0,0.75,375.0
779.9594399999999,2.0,2.0,2.0,0.0,3.0,7.5,0.020513887234956733,4.0,1.0,16.0
2965.05144,3.0,4.0,3.0,0.0,3.0,15.0,0.21922048003322328,7.0,0.75,650.0
1125.05328,2.0,2.0,1.0,1.0,1.0,7.5,0.05777504155180988,4.0,1.0,65.0
2360.97576,3.0,4.0,3.0,0.0,3.0,1.0,0.05929751688767868,7.0,0.75,140.0
1186.0,3.0,4.0,3.0,0.0,8.0,3.0,0.09274873524451939,7.0,0.75,110.0
510.0,3.0,3.0,3.0,1.0,3.0,1.0,0.08235294117647059,6.0,1.0,42.0
1350.02088,5.0,2.0,3.0,1.0,3.0,5.0,0.037036464206390646,7.0,2.5,50.0
1557.0126,9.0,9.0,3.0,1.0,7.0,1.0,0.23442327955470624,18.0,1.0,365.0
1760.0216399999997,3.0,4.0,3.0,0.0,8.0,5.0,0.1249984630870789,7.0,0.75,220.00000000000003
2100.0564,3.0,3.0,2.0,0.0,8.0,7.5,0.16666219059640494,6.0,1.0,350.0
575.98164,2.0,2.0,2.0,0.0,3.0,7.5,0.0451403277368355,4.0,1.0,26.0
1671.00336,2.0,2.0,2.0,0.0,5.0,3.0,0.06343494126786196,4.0,1.0,106.0
1619.982,4.0,4.0,3.0,1.0,5.0,15.0,0.2160517832914193,8.0,1.0,350.0
1342.05552,2.0,2.0,2.0,0.0,3.0,1.0,0.064080806433403,4.0,1.0,86.0
1161.0,3.0,5.0,3.0,0.0,1.0,3.0,0.1429801894918174,8.0,0.6,166.0
650.03796,1.0,1.0,2.0,0.0,6.0,7.5,0.08553346638402472,2.0,1.0,55.6
1457.01504,2.0,2.0,2.0,0.0,1.0,3.0,0.05353410765066639,4.0,1.0,78.0
4115.0772,5.0,5.0,3.0,0.0,5.0,3.0,0.11640121842671627,10.0,1.0,479.0
450.0,1.0,1.0,1.0,0.0,1.0,7.5,0.08888888888888889,2.0,1.0,40.0
509.35248,5.0,2.0,1.0,1.0,6.0,15.0,0.25522600773436893,7.0,2.5,130.0
1537.96032,3.0,3.0,1.0,0.0,8.0,3.0,0.08842880939867162,6.0,1.0,136.0
1895.0022,3.0,3.0,3.0,0.0,2.0,0.0,0.055408906649290435,6.0,1.0,105.0
2449.99404,3.0,4.0,3.0,0.0,8.0,7.5,0.24489855493689283,7.0,0.75,600.0
1252.17612,2.0,2.0,3.0,0.0,3.0,5.0,0.047117972510129,4.0,1.0,59.0
2165.07096,3.0,2.0,2.0,0.0,3.0,7.5,0.12008844273630644,5.0,1.5,260.0
